Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.08.2021,265,176,385,4,17047,11,1
02.08.2021,827,533,334,26,39622,68,26
03.08.2021,984,570,572,43,47442,59,48
04.08.2021,1052,542,532,25,46074,81,37
05.08.2021,1081,478,516,16,42597,74,32
06.08.2021,1054,1393,534,20,46841,72,13
07.08.2021,619,235,561,10,33089,45,11
08.08.2021,300,281,400,5,16720,20,2
09.08.2021,781,1390,335,24,44553,37,28
10.08.2021,1122,1160,648,25,5320,54,31
11.08.2021,1247,1039,588,24,48051,77,41
12.08.2021,1263,1007,613,44,47355,73,52
