Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.08.2021,265,176,385,4,17047,11,1
02.08.2021,827,533,334,26,39622,68,26
03.08.2021,984,570,572,43,47442,59,48
04.08.2021,1052,542,532,25,46074,81,37
05.08.2021,1081,478,516,16,42597,74,32
06.08.2021,1054,1393,534,20,46841,72,13
07.08.2021,619,235,561,10,33089,45,11
08.08.2021,300,281,400,5,16720,20,2
09.08.2021,781,1390,335,24,44553,37,28
10.08.2021,1122,1160,648,25,5320,54,31
11.08.2021,1247,1039,588,24,48051,77,41
12.08.2021,1263,1007,613,44,47355,73,52
13.08.2021,1353,791,641,21,51151,99,33
14.08.2021,695,238,569,17,30798,50,5
15.08.2021,417,248,433,14,19071,31,10
16.08.2021,890,433,379,27,47429,81,10
17.08.2021,1447,712,677,40,60654,104,38
18.08.2021,1560,898,665,32,50593,90,35
19.08.2021,1600,882,597,26,48942,112,46
20.08.2021,1732,763,616,38,55925,104,32
21.08.2021,1003,236,701,25,38102,45,17
22.08.2021,610,434,425,17,19631,33,3
23.08.2021,692,345,410,27,35858,54,4
24.08.2021,727,382,682,20,26204,46,10
25.08.2021,1581,1269,464,45,52427,104,38
26.08.2021,2032,1253,838,66,53486,127,46
27.08.2021,2082,1025,708,54,58135,108,35
28.08.2021,1906,685,772,34,38864,134,40
29.08.2021,749,291,583,18,18658,55,6
30.08.2021,1356,1257,470,51,46014,75,31
31.08.2021,2075,925,874,44,63401,153,52
